0,0,0,0,Black
1,51,51,51,5% Gray
2,102,102,102,10% Gray
3,153,153,153,15% Gray
4,205,205,205,20% Gray
5,256,256,256,25% Gray
6,307,307,307,30% Gray
7,358,358,358,35% Gray
8,409,409,409,40% Gray
9,460,460,460,45% Gray
10,512,512,512,50% Gray
11,563,563,563,55% Gray
12,614,614,614,60% Gray
13,665,665,665,65% Gray
14,716,716,716,70% Gray
15,767,767,767,75% Gray
16,818,818,818,80% Gray (Gain)
17,870,870,870,85% Gray
18,921,921,921,90% Gray
19,972,972,972,95% Gray
20,1023,1023,1023,100% White
21,51,51,51,5% Gray (Black Level)
22,972,972,972,95% Gray (White Level)
23,1023,1023,1023,100% White (Peak)
24,818,818,818,80% Gray (WB Gain)
25,307,307,307,30% Gray (WB Offset)
26,1023,0,0,Red 100%
27,0,1023,0,Green 100%
28,0,0,1023,Blue 100%
29,0,1023,1023,Cyan 100%
30,1023,0,1023,Magenta 100%
31,1023,1023,0,Yellow 100%
