0,51,51,51,Gamma 5%
1,102,102,102,Gamma 10%
2,153,153,153,Gamma 15%
3,205,205,205,Gamma 20%
4,256,256,256,Gamma 25%
5,307,307,307,Gamma 30%
6,358,358,358,Gamma 35%
7,409,409,409,Gamma 40%
8,460,460,460,Gamma 45%
9,512,512,512,Gamma 50%
10,563,563,563,Gamma 55%
11,614,614,614,Gamma 60%
12,665,665,665,Gamma 65%
13,716,716,716,Gamma 70%
14,767,767,767,Gamma 75%
15,818,818,818,Gamma 80%
16,870,870,870,Gamma 85%
17,921,921,921,Gamma 90%
18,972,972,972,Gamma 95%
